Title,Year,Rating,Directors,Stars,Votes,Gross Worldwide,Production Company,total_minute,Genre_Cleaned,Primary_Language
Dhruva,2016,7.7,Surender Reddy,"Ram Charan,Arvind Swamy,Rakul Preet Singh",8400,987421.0,"Geetha Arts, MG Movies Productions",165,"Crime, Drama, Thriller",Telugu
Dasara,2023,6.6,Srikanth Odela,"Keerthy Suresh,Shine Tom Chacko",11000,269146.0,Sri Lakshmi Venkateshwara Cinemas,156,"Action, Adventure, Drama",Telugu
Swag,2024,7.5,Hasith Goli,"Meera Jasmine,Ritu Varma",3000,47283.0,People Media Factory,150,"Comedy, Drama",Telugu
Srimanthudu,2015,7.5,Koratala Siva,"Mahesh Babu,Shruti Haasan,Jagapathi Babu",14000,14240289.0,"G. Mahesh Babu Entertainment, Mythri Movie Makers, ZEE Entertainment Enterprises",158,"Action, Drama",Telugu
Uppena,2021,6.5,Buchi Babu Sana,"Panja Vaisshnav Tej,Krithi Shetty,Vijay Sethupathi",4500,5794.0,"Mythri Movie Makers, Sukumar Writings, Goldmines Telefilms",147,"Drama, Romance",Telugu
Bubblegum,2023,6.2,Ravikanth Perepu,"Roshan Kanakala,Manasa Chowdary,Harsha Chemudu",2400,596.0,"Maheshwari Movies, People Media Factory",146,"Action, Drama, Romance",Telugu
Brahma Anandam,2025,8.1,RVS Nikhil,"Dayanand Reddy,Raghu Babu",1200,50013.0,Swadharm Entertainment,140,Drama,Telugu
Kushi,2023,5.4,Shiva Nirvana,"Samantha Ruth Prabhu,Vijay Deverakonda,Murli Sharma",8500,202352.0,Mythri Movie Makers,163,"Comedy, Drama, Romance",Telugu
Maestro,2021,6.7,Merlapaka Gandhi,"Tamannaah Bhatia,Nabha Natesh",1600,481860.0,Sreshth Movies,135,"Music, Mystery, Thriller",Telugu
Sarkaru Vaari Paata,2022,5.6,Parasuram,"Mahesh Babu,Keerthy Suresh",11000,14199018.0,"14 Reels Plus, G. Mahesh Babu Entertainment, Mythri Movie Makers",162,"Action, Drama",Telugu
Razakar: The Silent Genocide of Hyderabad,2024,7.4,Yaata Satyanarayana,"Raj Arjun,Bobby Simha,Anasuya Bharadwaj",5300,349271.0,"Altair Media, Samarveer Creations",166,"Action, Drama, History",Telugu
Srikakulam Sherlockholmes,2024,8.0,Writer Moahan,"Bhadram,Muralidhar Goud,Siya Gowtam",2300,126875.5,Sri Ganapathi Cinemas,125,Comedy,Telugu
Doctor,2021,7.4,Nelson Dilipkumar,"Vinay Rai,Priyanka Arulmohan",20000,583638.0,"KJR Studios, Sivakarthikeyan Productions, Goldmines Telefilms",148,"Comedy, Crime, Drama",Telugu
S/O Satyamurthy,2015,7.1,Trivikram Srinivas,"Allu Arjun,Samantha Ruth Prabhu",7300,595200.0,Haarika & Hassine Creations,162,"Action, Drama",Telugu
Agent Sai Srinivasa Athreya,2019,8.3,Swaroop Rsj,"Naveen Polishetty,Shruti Sharma,Krishneswara Rao",18000,4454.0,"Goldmines Telefilms, Swadharm Entertainment",148,"Crime, Mystery, Thriller",Telugu
Dhamaka,2022,6.2,Trinadha Rao Nakkina,Ravi Teja,5500,89339.0,"People Media Factory, Abhishek Agarwal Arts, B4U Motion Pictures",144,"Action, Comedy, Thriller",Telugu
Yamadonga,2007,7.2,S.S. Rajamouli,"Rama Rao Jr,Mohan Babu",4900,481860.0,Viswamitra Creations,185,"Action, Comedy, Fantasy",Telugu
Ala Ninnu Cheri,2023,6.5,Maresh Shivan,"Dinesh Tej,Hebah Patel,Payal Radhakrishna",3600,481860.0,"Viision Movie Makers, Vision Movie Makers",158,"Action, Romance",Telugu
Shyam Singha Roy,2021,7.6,Rahul Sankrityan,"Sai Pallavi,Krithi Shetty",16000,142362.0,"Niharika Entertainment, B4U Motion Pictures, MG Movies Productions",155,"Period Drama, Drama, Romance",Telugu
Mukhachitram,2022,6.4,Gangadhar,"Vikas Vasistha,Priya Vadlamani,Ayesha Khan",2900,481860.0,Pocket Money Pictures,126,"Romance, Thriller",Telugu
Virupaksha,2023,7.2,Karthik Varma Dandu,"Sai Dharam Tej,Samyuktha Menon",6800,88527.0,"Sri Venkateswara Cine Chitra, Sukumar Writings",145,"Horror, Mystery, Thriller",Telugu
Rakshasudu,2019,7.9,Ramesh Varma,"Sai Srinivas Bellamkonda,Anupama Parameswaran",1800,4602.0,A Studios,122,"Action, Crime, Thriller",Telugu
Cheddy Gang Tamasha,2023,7.5,Venkat Kalyan,"Kranthi Kiran,Venkat Kalyan,Laxman Meesala",2800,44478.0,"Abuja Entertainment, Sri Leela Entertainements",160,"Action, Comedy, Crime",Telugu
1: Nenokkadine,2014,7.9,Sukumar,"Mahesh Babu,Kriti Sanon",47000,194871.5,"14 Reels Entertainment, Eros Worldwide, Hobo Pictures",170,"Action, Thriller",Telugu
Varudu Kaavalenu,2021,6.4,Lakshmi Sowjanya,"Mahesh Achanta,Vaishnavi Chaitanya",1400,22041.0,Sithara Entertainments,135,Romance,Telugu
Nuvvostanante Nenoddantana,2005,7.8,Prabhu Deva,Trisha Krishnan,4100,1501016.5,Sumanth Art Productions,165,Romance,Telugu
Ninnu Kori,2017,7.5,Shiva Nirvana,Nivetha Thomas,4200,149229.0,"DVV Entertainment, Kona Film Corporation",137,"Comedy, Romance",Telugu
Awe!,2018,7.6,Prasanth Varma,"Kajal Aggarwal,Nithya Menen,Srinivas Avasarala",6200,47386.0,Wall Poster Cinema,150,"Mystery, Sci-Fi, Thriller",Telugu
Mr. Bachchan,2024,3.6,Harish Shankar,"Ravi Teja,Jagapathi Babu,Sidhu Jonnalagadda",5300,30098.0,"People Media Factory, T Series",150,"Drama, Romance, Thriller",Telugu
Ashoka Vanamlo Arjuna Kalyanam,2022,7.4,Vidyasagar Chinta,"Vishwak Sen,Rukshar Dhillon,Ritika Nayak",1900,4725.0,"Dream Farmers, SVCC Digital, Sri Venkateswara Cine Chitra",149,"Drama, Romance",Telugu
Waltair Veerayya,2023,6.2,Bobby Kolli,"Ravi Teja,Shruti Haasan",8000,838855.0,Mythri Movie Makers,155,"Action, Drama",Telugu
Goutham Nanda,2017,6.4,Sampath Nandi,"Hansika Motwani,Catherine Tresa",1100,39711.0,"Sri Balaji Cine Media, ZEE Entertainment Enterprises",155,"Action, Drama",Telugu
Dhakshina,2024,5.4,Tulasi Ram Osho,"Rishav Basu,Magna Choudhary,Dhansika",5200,131028.0,Cult Concepts,107,"Crime, Drama",Telugu
Ravanasura,2023,5.7,Sudheer Varma,Ravi Teja,2600,57338.0,"Abhishek Nama Pictures, MSK Films, RT Teamworks",141,"Crime, Drama, Thriller",Telugu
Macherla Niyojakavargam,2022,4.5,S.R. Shekhar,"Krithi Shetty,Catherine Tresa",1500,1264167.0,Sreshth Movies,159,"Action, Comedy, Drama",Telugu
Bimbisara,2022,6.8,Mallidi Vasishta,"Nandamuri Kalyan Ram,Samyuktha Menon,Catherine Tresa",8300,2965226.0,NTR Arts,146,"Action, Drama, Fantasy",Telugu
Pelli Choopulu,2016,8.2,Tharun Bhascker Dhaassyam,"Abhay Bethiganti,Bindu Chandramouli,Khenisha Chandran",8800,320366.0,"Dharmapath Creations, Big Ben Cinemas, Vinoothna Geetha",125,"Comedy, Drama, Romance",Telugu
Ambajipeta Marriage Band,2024,6.6,Dushyanth Katikineni,"Gayatri Bhargavi,Jagadeesh Prathap Bandari",755,31665.0,"Dheeraj Mogilineni Entertainment, GA2 Pictures, Mahayana Motion Pictures",144,Drama,Telugu
Bommarillu,2006,8.2,Bommarillu Baskar,"Siddharth,Genelia Deshmukh,Prakash Raj",10000,320366.0,Sri Venkateswara Creations,170,"Comedy, Drama, Romance",Telugu
Vikramarkudu,2006,7.7,S.S. Rajamouli,"Ravi Teja,Anushka Shetty,Annie",5000,31183.0,Sri Keerthi Creations,161,Action,Telugu
Athidhi,2007,5.5,Surender Reddy,"Mahesh Babu,Amrita Rao,Murli Sharma",2300,31183.0,"Krishna Productions, UTV Motion Pictures",172,Action,Telugu
F2: Fun and Frustration,2019,6.1,Anil Ravipudi,"Tamannaah Bhatia,Priyadarshi Pulikonda,Venkatesh Daggubati",3400,209812.0,Sri Venkateswara Creations,148,Comedy,Telugu
Julayi,2012,7.3,Trivikram Srinivas,"Allu Arjun,Rajendra Prasad",7000,11864915.0,"Universal Media, Haarika & Hassine Creations, Goldmines Telefilms",160,"Comedy, Crime, Thriller",Telugu
Miss Shetty Mr Polishetty,2023,7.0,Mahesh Babu P.,"Anushka Shetty,Naveen Polishetty",4700,92925.0,UV Creations,149,"Drama, Romance, Thriller",Telugu
Atharintiki Daaredi,2013,7.3,Trivikram Srinivas,"Pawan Kalyan,Samantha Ruth Prabhu,Pranitha Subhash",10000,1135841.5,"Reliance Entertainment, Sri Venkateswara Cine Chitra",170,"Action, Comedy, Drama",Telugu
Nenu Local,2017,6.4,Trinadha Rao Nakkina,"Keerthy Suresh,Naveen Chandra",3200,14372.0,Sri Venkateswara Creations,138,"Action, Comedy, Romance",Telugu
Bangarraju,2022,5.5,Kalyan Krishna,"Nagarjuna Akkineni,Ramya Krishnan,Naga Chaitanya Akkineni",2300,534735.0,"Annapurna Studios, Zee Studios",150,Drama,Telugu
Mr. Majnu,2019,6.1,Venky Atluri,"Akhil Akkineni,Nidhhi Agerwal,Izabelle Leite",1900,2979992.0,"Goldmines Telefilms, Sri Venkateswara Cine Chitra",145,Romance,Telugu
Harom Hara,2024,6.6,Gnanasagar Dwaraka,"Sudheer Babu Posani,Malvika Sharma",3000,2699.0,Sree Subramanyam Cinemas,154,"Action, Crime, Drama",Telugu
